   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_291.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.320513, 0, 1.56627e-11, 3.08286e-44, 1.41421, -1.56627e-11, 0, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 1.56627e-11, 3.08286e-44, 3.08286e-44, 3.08286e-44
0.3284, 0, 2.5983e-11, 6.16571e-43, 1.41421, -2.5983e-11, 0, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 6.16571e-43, 2.5983e-11, 6.16571e-43, 6.16571e-43, 6.16571e-43
0.336286, 0, 4.27346e-11, 9.13226e-42, 1.41421, -4.27346e-11, 0, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 9.13226e-42, 4.27346e-11, 9.13226e-42, 9.13226e-42, 9.13226e-42
0.344173, 0, 6.96884e-11, 1.23122e-40, 1.41421, -6.96884e-11, 0, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 1.23122e-40, 6.96884e-11, 1.23122e-40, 1.23122e-40, 1.23122e-40
0.352059, 0, 1.12682e-10, 1.49162e-39, 1.41421, -1.12682e-10, 0, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.49162e-39, 1.12682e-10, 1.49162e-39, 1.49162e-39, 1.49162e-39
0.359946, 0, 1.80667e-10, 1.62971e-38, 1.41421, -1.80667e-10, 0, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.62971e-38, 1.80667e-10, 1.62971e-38, 1.62971e-38, 1.62971e-38
0.367832, 0, 2.8725e-10, 1.61196e-37, 1.41421, -2.8725e-10, 0, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 1.61196e-37, 2.8725e-10, 1.61196e-37, 1.61196e-37, 1.61196e-37
0.375719, 0, 4.52917e-10, 1.45291e-36, 1.41421, -4.52917e-10, 0, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 1.45291e-36, 4.52917e-10, 1.45291e-36, 1.45291e-36, 1.45291e-36
0.383605, 0, 7.08232e-10, 1.19948e-35, 1.41421, -7.08232e-10, 0, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 1.19948e-35, 7.08232e-10, 1.19948e-35, 1.19948e-35, 1.19948e-35
0.391492, 0, 1.09839e-09, 9.107e-35, 1.41421, -1.09839e-09, 0, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 9.107e-35, 1.09839e-09, 9.107e-35, 9.107e-35, 9.107e-35
0.399379, 0, 1.6896e-09, 6.38757e-34, 1.41421, -1.6896e-09, 0, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 6.38757e-34, 1.6896e-09, 6.38757e-34, 6.38757e-34, 6.38757e-34
0.407265, 0, 2.57799e-09, 3.80865e-33, 1.41421, -2.57799e-09, 0, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 3.80865e-33, 2.57799e-09, 3.80865e-33, 3.80865e-33, 3.80865e-33
0.415152, 0, 3.90191e-09, 2.33108e-32, 1.41421, -3.90191e-09, 0, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 2.33108e-32, 3.90191e-09, 2.33108e-32, 2.33108e-32, 2.33108e-32
0.423038, 0, 5.85865e-09, 1.2751e-31, 1.41421, -5.85865e-09, 0, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 1.2751e-31, 5.85865e-09, 1.2751e-31, 1.2751e-31, 1.2751e-31
0.430925, 0, 8.72716e-09, 6.84885e-31, 1.41421, -8.72716e-09, 0, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 6.84885e-31, 8.72716e-09, 6.84885e-31, 6.84885e-31, 6.84885e-31
0.438811, 0, 1.28983e-08, 3.51281e-30, 1.41421, -1.28983e-08, 0, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 3.51281e-30, 1.28983e-08, 3.51281e-30, 3.51281e-30, 3.51281e-30
0.446698, 0, 1.89149e-08, 1.70438e-29, 1.41421, -1.89149e-08, 0, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.70438e-29, 1.89149e-08, 1.70438e-29, 1.70438e-29, 1.70438e-29
0.454584, 0, 2.75249e-08, 7.91741e-29, 1.41421, -2.75249e-08, 0, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 7.91741e-29, 2.75249e-08, 7.91741e-29, 7.91741e-29, 7.91741e-29
0.462471, 0, 3.97491e-08, 3.54073e-28, 1.41421, -3.97491e-08, 0, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.54073e-28, 3.97491e-08, 3.54073e-28, 3.54073e-28, 3.54073e-28
0.470358, 0, 5.69699e-08, 1.51332e-27, 1.41421, -5.69699e-08, 0, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 1.51332e-27, 5.69699e-08, 1.51332e-27, 1.51332e-27, 1.51332e-27
0.478244, 0, 8.10434e-08, 6.17583e-27, 1.41421, -8.10434e-08, 0, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 6.17583e-27, 8.10434e-08, 6.17583e-27, 6.17583e-27, 6.17583e-27
0.486131, 0, 1.14441e-07, 2.40746e-26, 1.41421, -1.14441e-07, 0, 2.40746e-26, 2.40746e-26, 2.40746e-26, 2.40746e-26, 2.40746e-26, 8.03278e-13, 2.40746e-26, 2.40746e-26, 2.40746e-26, 2.40746e-26, 2.40746e-26, 2.40746e-26, 2.40746e-26, 1.1444e-07, 2.40746e-26, 2.40746e-26, 2.40746e-26
0.494017, 0, 1.60427e-07, 8.97757e-26, 1.41421, -1.60427e-07, 0, 8.97757e-26, 8.97757e-26, 8.97757e-26, 8.97757e-26, 8.97757e-26, 2.80208e-12, 8.97757e-26, 8.97757e-26, 8.97757e-26, 8.97757e-26, 8.97757e-26, 8.97757e-26, 8.97757e-26, 1.60424e-07, 8.97757e-26, 8.97757e-26, 8.97757e-26
0.501904, 0, 2.23275e-07, 3.21596e-25, 1.41421, -2.23275e-07, 0, 3.21596e-25, 3.21596e-25, 3.21596e-25, 3.21596e-25, 3.21596e-25, 7.60823e-12, 3.21596e-25, 3.21596e-25, 3.21596e-25, 3.21596e-25, 3.21596e-25, 3.21596e-25, 3.21596e-25, 2.23268e-07, 3.21596e-25, 3.21596e-25, 3.21596e-25
0.50979, 0, 3.10735e-07, 1.11715e-24, 1.41421, -3.10735e-07, 0, 8.26128e-10, 2.2732e-11, 3.53039e-12, 1.44678e-11, 3.14862e-11, 5.84878e-11, 2.31827e-10, 3.05731e-12, 9.48525e-10, 6.96291e-13, 3.90689e-12, 1.11715e-24, 3.18749e-15, 3.08568e-07, 1.11715e-24, 1.11715e-24, 2.27944e-11
0.517677, 0, 4.31124e-07, 1.28515e-10, 1.41421, -4.31124e-07, 1.28515e-10, 2.99391e-09, 2.0736e-10, 1.4076e-10, 1.78696e-10, 2.37724e-10, 3.10402e-10, 9.32599e-10, 1.39119e-10, 3.41844e-09, 1.3093e-10, 1.42066e-10, 1.28515e-10, 1.28526e-10, 4.23626e-07, 1.28515e-10, 1.28515e-10, 2.07576e-10
0.525563, 0, 5.97977e-07, 4.43659e-10, 1.41421, -5.97977e-07, 4.43659e-10, 8.18406e-09, 6.56646e-10, 4.76737e-10, 5.79214e-10, 7.38669e-10, 9.16038e-10, 2.61576e-09, 4.72304e-10, 9.33086e-09, 4.50183e-10, 4.80264e-10, 4.43659e-10, 4.43689e-10, 5.77743e-07, 4.43659e-10, 4.43659e-10, 6.5723e-10
0.53345, 0, 8.32878e-07, 1.19528e-09, 1.41421, -8.32878e-07, 1.19528e-09, 2.02651e-08, 1.72001e-09, 1.27677e-09, 1.52924e-09, 1.92208e-09, 2.33336e-09, 6.54661e-09, 1.26585e-09, 2.30904e-08, 1.21135e-09, 1.28546e-09, 1.19528e-09, 1.19535e-09, 7.83053e-07, 1.19528e-09, 1.19528e-09, 1.72145e-09
0.541336, 0, 1.17193e-06, 2.93835e-09, 1.41421, -1.17193e-06, 2.93835e-09, 4.76448e-08, 4.16851e-09, 3.1294e-09, 3.72128e-09, 4.64225e-09, 5.5627e-09, 1.54838e-08, 3.1038e-09, 5.42684e-08, 2.97603e-09, 3.14977e-09, 2.93835e-09, 2.93852e-09, 1.05517e-06, 2.93835e-09, 2.93835e-09, 4.17188e-09
0.549223, 0, 1.67892e-06, 6.87653e-09, 1.41421, -1.67892e-06, 6.87653e-09, 1.0811e-07, 9.6621e-09, 7.30914e-09, 8.6494e-09, 1.07348e-08, 1.2738e-08, 3.52845e-08, 7.25117e-09, 1.23108e-07, 6.96185e-09, 7.35528e-09, 6.87653e-09, 6.87692e-09, 1.4146e-06, 6.87653e-09, 6.87653e-09, 9.66974e-09
0.55711, 0, 2.47088e-06, 1.55468e-08, 1.41421, -2.47088e-06, 1.55468e-08, 2.38267e-07, 2.16753e-08, 1.64986e-08, 1.94473e-08, 2.40354e-08, 2.913e-08, 7.80461e-08, 1.63711e-08, 2.71264e-07, 1.57346e-08, 1.66001e-08, 1.55468e-08, 1.55477e-08, 1.88868e-06, 1.55468e-08, 1.55468e-08, 2.16921e-08
0.564996, 0, 3.76593e-06, 3.41543e-08, 1.41421, -3.76593e-06, 3.41543e-08, 5.11431e-07, 4.72872e-08, 3.61939e-08, 4.25127e-08, 5.23447e-08, 6.66366e-08, 1.68087e-07, 3.59206e-08, 5.82143e-07, 3.45566e-08, 3.64114e-08, 3.41543e-08, 3.41561e-08, 2.51493e-06, 3.41543e-08, 3.41543e-08, 4.73232e-08
0.572883, 0, 5.97755e-06, 7.31511e-08, 1.41421, -5.97755e-06, 7.31511e-08, 1.07095e-06, 1.00607e-07, 7.74151e-08, 9.06254e-08, 1.1118e-07, 1.56478e-07, 3.53153e-07, 7.68438e-08, 1.21878e-06, 7.39921e-08, 7.78699e-08, 7.31511e-08, 7.3155e-08, 3.34678e-06, 7.31511e-08, 7.31511e-08, 1.00682e-07
0.580769, 0, 9.83858e-06, 1.52597e-07, 1.41421, -9.83858e-06, 1.52597e-07, 2.18679e-06, 2.0857e-07, 1.6129e-07, 1.88221e-07, 2.30126e-07, 3.35108e-07, 7.2343e-07, 1.60125e-07, 2.48817e-06, 1.54311e-07, 1.62217e-07, 1.52597e-07, 1.52605e-07, 4.46265e-06, 1.52597e-07, 1.52597e-07, 2.08724e-07
0.588656, 0, 1.67084e-05, 3.10688e-07, 1.41421, -1.67084e-05, 3.10688e-07, 4.35909e-06, 4.22085e-07, 3.27988e-07, 3.81586e-07, 4.64985e-07, 7.0024e-07, 1.44675e-06, 3.2567e-07, 4.95889e-06, 3.141e-07, 3.29833e-07, 3.10688e-07, 3.10703e-07, 5.98302e-06, 3.10688e-07, 3.10688e-07, 4.2239e-07
0.596542, 0, 2.89928e-05, 6.17536e-07, 1.41421, -2.89928e-05, 6.17536e-07, 8.48455e-06, 8.34007e-07, 6.51155e-07, 7.55309e-07, 9.17371e-07, 1.42802e-06, 2.82516e-06, 6.4665e-07, 9.6501e-06, 6.24167e-07, 6.5474e-07, 6.17536e-07, 6.17566e-07, 8.09739e-06, 6.17536e-07, 6.17536e-07, 8.34601e-07
0.604429, 0, 5.08842e-05, 1.19853e-06, 1.41421, -5.08842e-05, 1.19853e-06, 1.61283e-05, 1.60935e-06, 1.26234e-06, 1.46e-06, 1.76755e-06, 2.85709e-06, 5.3881e-06, 1.25379e-06, 1.83403e-05, 1.21112e-06, 1.26914e-06, 1.19853e-06, 1.19859e-06, 1.11091e-05, 1.19853e-06, 1.19853e-06, 1.61047e-06
0.612315, 0, 8.95008e-05, 2.27178e-06, 1.41421, -8.95008e-05, 2.27178e-06, 2.99468e-05, 3.03329e-06, 2.39004e-06, 2.75644e-06, 3.32655e-06, 5.60993e-06, 1.00379e-05, 2.37419e-06, 3.40471e-05, 2.2951e-06, 2.40266e-06, 2.27178e-06, 2.27188e-06, 1.55066e-05, 2.27178e-06, 2.27178e-06, 3.03538e-06
0.620202, 0, 0.000156639, 4.20619e-06, 1.41421, -0.000156639, 4.20619e-06, 5.43247e-05, 5.58527e-06, 4.42037e-06, 5.08391e-06, 6.11636e-06, 1.08136e-05, 1.82704e-05, 4.39167e-06, 6.17502e-05, 4.24844e-06, 4.44321e-06, 4.20619e-06, 4.20639e-06, 2.20757e-05, 4.20619e-06, 4.20619e-06, 5.58905e-06
0.628089, 0, 0.000271347, 7.60857e-06, 1.41421, -0.000271347, 7.60857e-06, 9.62968e-05, 1.00489e-05, 7.98757e-06, 9.16174e-06, 1.09887e-05, 2.04681e-05, 3.24961e-05, 7.93679e-06, 0.000109437, 7.68332e-06, 8.02799e-06, 7.60857e-06, 7.60891e-06, 3.20616e-05, 7.60857e-06, 7.60857e-06, 1.00556e-05
