   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_117.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.410162, 0, 9.30734e-09, 1.36531e-31, 1.41421, -9.30734e-09, 1.36531e-31, 0, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 1.36531e-31, 6.13473e-11, 1.36531e-31, 1.36531e-31, 3.94679e-13, 1.16161e-09, 1.36531e-31, 8.08399e-09, 1.36531e-31, 1.36531e-31, 1.36531e-31
0.418049, 0, 1.36823e-08, 7.64162e-31, 1.41421, -1.36823e-08, 7.64162e-31, 0, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 7.64162e-31, 8.92886e-11, 7.64162e-31, 7.64162e-31, 6.34612e-13, 1.8623e-09, 7.64162e-31, 1.173e-08, 7.64162e-31, 7.64162e-31, 7.64162e-31
0.425937, 0, 2.00177e-08, 4.00807e-30, 1.41421, -2.00177e-08, 4.00807e-30, 0, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 4.00807e-30, 1.2914e-10, 4.00807e-30, 4.00807e-30, 1.01992e-12, 2.98235e-09, 4.00807e-30, 1.69052e-08, 4.00807e-30, 4.00807e-30, 4.00807e-30
0.433824, 0, 2.91572e-08, 1.97605e-29, 1.41421, -2.91572e-08, 1.97605e-29, 0, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.97605e-29, 1.85627e-10, 1.97605e-29, 1.97605e-29, 1.63801e-12, 4.77022e-09, 1.97605e-29, 2.41997e-08, 1.97605e-29, 1.97605e-29, 1.97605e-29
0.441711, 0, 4.22975e-08, 9.18696e-29, 1.41421, -4.22975e-08, 9.18696e-29, 0, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 9.18696e-29, 2.65209e-10, 9.18696e-29, 9.18696e-29, 2.62804e-12, 7.61902e-09, 9.18696e-29, 3.44107e-08, 9.18696e-29, 9.18696e-29, 9.18696e-29
0.449599, 0, 6.11355e-08, 4.03992e-28, 1.41421, -6.11355e-08, 4.03992e-28, 0, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 4.03992e-28, 3.76663e-10, 4.03992e-28, 4.03992e-28, 4.21061e-12, 1.21481e-08, 4.03992e-28, 4.86066e-08, 4.03992e-28, 4.03992e-28, 4.03992e-28
0.457486, 0, 8.80757e-08, 1.68538e-27, 1.41421, -8.80757e-08, 1.68538e-27, 0, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 1.68538e-27, 5.31852e-10, 1.68538e-27, 1.68538e-27, 6.73382e-12, 1.93283e-08, 1.68538e-27, 6.82088e-08, 1.68538e-27, 1.68538e-27, 1.68538e-27
0.465374, 0, 1.26526e-07, 6.68898e-27, 1.41421, -1.26526e-07, 6.68898e-27, 0, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 6.68898e-27, 7.46716e-10, 6.68898e-27, 6.68898e-27, 1.07442e-11, 3.06735e-08, 6.68898e-27, 9.50948e-08, 6.68898e-27, 6.68898e-27, 6.68898e-27
0.473261, 0, 1.81314e-07, 2.53225e-26, 1.41421, -1.81314e-07, 2.53225e-26, 0, 2.53225e-26, 2.53225e-26, 2.53225e-26, 2.53225e-26, 2.53225e-26, 2.53225e-26, 9.18464e-14, 2.53225e-26, 2.53225e-26, 2.53225e-26, 1.04256e-09, 2.53225e-26, 2.53225e-26, 1.70951e-11, 4.85284e-08, 2.53225e-26, 1.31726e-07, 2.53225e-26, 2.53225e-26, 2.53225e-26
0.481148, 0, 2.59281e-07, 9.16659e-26, 1.41421, -2.59281e-07, 9.16659e-26, 0, 9.16659e-26, 9.16659e-26, 9.16659e-26, 9.16659e-26, 9.16659e-26, 9.16659e-26, 3.07112e-13, 9.16659e-26, 9.16659e-26, 9.16659e-26, 1.44771e-09, 9.16659e-26, 9.16659e-26, 2.711e-11, 7.64991e-08, 9.16659e-26, 1.81307e-07, 9.16659e-26, 9.16659e-26, 9.16659e-26
