   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.420559, 0, 2.08444e-06, 3.22339e-27, 1.41421, -2.08444e-06, 0, 3.22339e-27, 3.22339e-27, 3.22339e-27, 3.22339e-27, 3.22339e-27, 3.22339e-27, 3.22339e-27, 3.99559e-09, 3.22339e-27, 3.22339e-27, 1.01484e-10, 2.72022e-09, 3.22339e-27, 2.07762e-06, 3.22339e-27, 3.22339e-27
0.42834, 0, 2.83646e-06, 1.34229e-26, 1.41421, -2.83646e-06, 0, 1.34229e-26, 1.34229e-26, 1.34229e-26, 1.34229e-26, 1.34229e-26, 1.34229e-26, 1.34229e-26, 5.47488e-09, 1.34229e-26, 1.34229e-26, 1.56938e-10, 4.13646e-09, 1.34229e-26, 2.82669e-06, 1.34229e-26, 1.34229e-26
0.436121, 0, 3.83785e-06, 5.32041e-26, 1.41421, -3.83785e-06, 0, 5.32041e-26, 5.32041e-26, 5.32041e-26, 5.32041e-26, 5.32041e-26, 5.32041e-26, 5.32041e-26, 7.46528e-09, 5.32041e-26, 5.32041e-26, 2.42203e-10, 6.27134e-09, 5.32041e-26, 3.82387e-06, 5.32041e-26, 5.32041e-26
0.443902, 0, 5.16363e-06, 2.01233e-25, 1.41421, -5.16363e-06, 0, 2.01233e-25, 2.01233e-25, 2.01233e-25, 2.01233e-25, 2.01233e-25, 2.01233e-25, 2.01233e-25, 1.01308e-08, 2.01233e-25, 2.01233e-25, 3.72861e-10, 9.47689e-09, 2.01233e-25, 5.14365e-06, 2.01233e-25, 2.01233e-25
0.451683, 0, 6.9089e-06, 7.28032e-25, 1.41421, -6.9089e-06, 0, 7.28032e-25, 7.28032e-25, 7.28032e-25, 7.28032e-25, 7.28032e-25, 7.28032e-25, 7.28032e-25, 1.36842e-08, 7.28032e-25, 7.28032e-25, 5.72314e-10, 1.42693e-08, 7.28032e-25, 6.88037e-06, 7.28032e-25, 7.28032e-25
0.459464, 0, 9.19346e-06, 2.53795e-24, 1.41421, -9.19346e-06, 0, 2.53795e-24, 2.53795e-24, 2.53795e-24, 2.53795e-24, 2.53795e-24, 2.53795e-24, 2.53795e-24, 1.83998e-08, 2.53795e-24, 2.53795e-24, 8.75478e-10, 2.14003e-08, 2.53795e-24, 9.15279e-06, 2.53795e-24, 2.53795e-24
0.467245, 0, 1.21867e-05, 1.68263e-08, 1.41421, -1.21867e-05, 1.68263e-08, 1.68265e-08, 1.68268e-08, 1.68278e-08, 1.68268e-08, 1.68847e-08, 1.68364e-08, 1.70693e-08, 4.14571e-08, 1.68346e-08, 1.68267e-08, 1.81604e-08, 4.87828e-08, 1.68263e-08, 1.21277e-05, 1.68263e-08, 1.76086e-08
0.475026, 0, 1.60796e-05, 5.39508e-08, 1.41421, -1.60796e-05, 5.39508e-08, 5.39514e-08, 5.39526e-08, 5.39559e-08, 5.39524e-08, 5.41389e-08, 5.39836e-08, 5.47333e-08, 8.67791e-08, 5.39776e-08, 5.39521e-08, 5.59754e-08, 1.01448e-07, 5.39509e-08, 1.59937e-05, 5.39508e-08, 5.64695e-08
0.482807, 0, 2.11293e-05, 1.33894e-07, 1.41421, -2.11293e-05, 1.33894e-07, 1.33895e-07, 1.33898e-07, 1.33906e-07, 1.33898e-07, 1.34362e-07, 1.33975e-07, 1.3584e-07, 1.7746e-07, 1.3396e-07, 1.33897e-07, 1.36952e-07, 2.04136e-07, 1.33894e-07, 2.10036e-05, 1.33894e-07, 1.4016e-07
0.490588, 0, 2.76762e-05, 3.02156e-07, 1.41421, -2.76762e-05, 3.02156e-07, 3.0216e-07, 3.02167e-07, 3.02185e-07, 3.02165e-07, 3.03214e-07, 3.02341e-07, 3.06556e-07, 3.5973e-07, 3.02307e-07, 3.02164e-07, 3.06754e-07, 4.05478e-07, 3.02157e-07, 2.74907e-05, 3.02156e-07, 3.16319e-07
