   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_181.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.466109, 0, 1.10968e-05, 4.50754e-08, 1.41421, -1.10968e-05, 4.51899e-08, 4.50754e-08, 4.5076e-08, 4.50772e-08, 4.50815e-08, 4.51478e-08, 4.54173e-08, 1.18099e-07, 4.50825e-08, 4.94293e-08, 1.70302e-07, 4.50754e-08, 1.08909e-05, 4.50754e-08, 4.78363e-08
0.474161, 0, 1.47169e-05, 1.18607e-07, 1.41421, -1.47169e-05, 1.18909e-07, 1.18607e-07, 1.18609e-07, 1.18612e-07, 1.18623e-07, 1.18798e-07, 1.19509e-07, 2.1632e-07, 1.18626e-07, 1.25299e-07, 3.05264e-07, 1.18607e-07, 1.44171e-05, 1.18607e-07, 1.2589e-07
0.482213, 0, 1.94607e-05, 2.82859e-07, 1.41421, -1.94607e-05, 2.8358e-07, 2.82859e-07, 2.82863e-07, 2.8287e-07, 2.82897e-07, 2.83315e-07, 2.85013e-07, 4.1297e-07, 2.82903e-07, 2.93082e-07, 5.59269e-07, 2.82859e-07, 1.90232e-05, 2.82859e-07, 3.00256e-07
0.490265, 0, 2.57053e-05, 6.3947e-07, 1.41421, -2.57053e-05, 6.41103e-07, 6.3947e-07, 6.39479e-07, 6.39496e-07, 6.39558e-07, 6.40502e-07, 6.44347e-07, 8.11891e-07, 6.39571e-07, 6.54986e-07, 1.04599e-06, 6.39471e-07, 2.50637e-05, 6.3947e-07, 6.78848e-07
0.498318, 0, 3.40041e-05, 1.39358e-06, 1.41421, -3.40041e-05, 1.39714e-06, 1.39358e-06, 1.3936e-06, 1.39363e-06, 1.39377e-06, 1.39583e-06, 1.40421e-06, 1.62098e-06, 1.3938e-06, 1.41697e-06, 1.98772e-06, 1.39358e-06, 3.30563e-05, 1.39358e-06, 1.47947e-06
0.50637, 0, 4.52061e-05, 2.94892e-06, 1.41421, -4.52061e-05, 2.95647e-06, 2.94892e-06, 2.94896e-06, 2.94904e-06, 2.94933e-06, 2.95369e-06, 2.97145e-06, 3.24745e-06, 2.94939e-06, 2.98394e-06, 3.81053e-06, 2.94892e-06, 4.37932e-05, 2.94892e-06, 3.13081e-06
0.514422, 0, 6.06667e-05, 6.07958e-06, 1.41421, -6.06667e-05, 6.09514e-06, 6.07958e-06, 6.07967e-06, 6.07983e-06, 6.08042e-06, 6.08942e-06, 6.12605e-06, 6.46966e-06, 6.08055e-06, 6.13163e-06, 7.31981e-06, 6.07959e-06, 5.85351e-05, 6.07958e-06, 6.4548e-06
0.522474, 0, 8.26106e-05, 1.22326e-05, 1.41421, -8.26106e-05, 1.22639e-05, 1.22326e-05, 1.22327e-05, 1.22331e-05, 1.22343e-05, 1.22524e-05, 1.23261e-05, 1.27399e-05, 1.22345e-05, 1.23094e-05, 1.40044e-05, 1.22326e-05, 7.93502e-05, 1.22326e-05, 1.2988e-05
0.530526, 0, 0.000114746, 2.40454e-05, 1.41421, -0.000114746, 2.4107e-05, 2.40454e-05, 2.40458e-05, 2.40464e-05, 2.40487e-05, 2.40844e-05, 2.42294e-05, 2.47024e-05, 2.40492e-05, 2.4158e-05, 2.65577e-05, 2.40454e-05, 0.000109685, 2.40454e-05, 2.55311e-05
0.538578, 0, 0.000163289, 4.62185e-05, 1.41421, -0.000163289, 4.6337e-05, 4.62185e-05, 4.62191e-05, 4.62204e-05, 4.62249e-05, 4.62934e-05, 4.65723e-05, 4.70653e-05, 4.62258e-05, 4.63824e-05, 4.97541e-05, 4.62185e-05, 0.000155322, 4.62185e-05, 4.90758e-05
0.546631, 0, 0.000238552, 8.68593e-05, 1.41421, -0.000238552, 8.70821e-05, 8.68593e-05, 8.68605e-05, 8.68628e-05, 8.68712e-05, 8.70001e-05, 8.75246e-05, 8.7946e-05, 8.68731e-05, 8.70961e-05, 9.17982e-05, 8.68594e-05, 0.000225858, 8.68593e-05, 9.2232e-05
0.554683, 0, 0.000357588, 0.000159734, 1.41421, -0.000357588, 0.000160144, 0.000159734, 0.000159736, 0.00015974, 0.000159756, 0.000159993, 0.000160958, 0.000161122, 0.000159759, 0.000160074, 0.000166584, 0.000159734, 0.000337174, 0.000159734, 0.00016962
0.562735, 0, 0.000548037, 0.000287549, 1.41421, -0.000548037, 0.000288287, 0.000287549, 0.000287553, 0.00028756, 0.000287588, 0.000288015, 0.000289754, 0.000289316, 0.000287594, 0.000288033, 0.000296984, 0.000287549, 0.000515031, 0.000287549, 0.000305356
0.570787, 0, 0.000853991, 0.000506883, 1.41421, -0.000853991, 0.000508185, 0.000506883, 0.00050689, 0.000506903, 0.000506953, 0.000507706, 0.000510772, 0.000509122, 0.000506963, 0.000507569, 0.000519796, 0.000506883, 0.000800549, 0.000506883, 0.000538292
0.578839, 0, 0.00134422, 0.000875254, 1.41421, -0.00134422, 0.000877504, 0.000875254, 0.000875266, 0.000875289, 0.000875374, 0.000876676, 0.000881974, 0.000878081, 0.000875393, 0.000876219, 0.000892822, 0.000875254, 0.00125789, 0.000875254, 0.000929524
0.586892, 0, 0.00212385, 0.00148091, 1.41421, -0.00212385, 0.00148472, 0.00148091, 0.00148093, 0.00148097, 0.00148112, 0.00148332, 0.00149229, 0.00148447, 0.00148115, 0.00148226, 0.00150468, 0.00148091, 0.00198516, 0.00148091, 0.0015728
0.594944, 0, 0.00335004, 0.00245605, 1.41421, -0.00335004, 0.00246238, 0.00245605, 0.00245609, 0.00245615, 0.00245639, 0.00246005, 0.00247494, 0.00246051, 0.00245644, 0.00245793, 0.00248806, 0.00245605, 0.00312912, 0.00245605, 0.00260855
0.602996, 0, 0.00525245, 0.00399393, 1.41421, -0.00525245, 0.00400423, 0.00399393, 0.00399399, 0.0039941, 0.00399449, 0.00400044, 0.00402467, 0.00399951, 0.00399457, 0.00399653, 0.00403686, 0.00399394, 0.00490421, 0.00399393, 0.00424212
