   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.646149, 0, 0.000792029, 0.000503152, 1.41421, -0.000792029, 0.000511351, 0.000503152, 0.000503156, 0.000503156, 0.000503209, 0.000504502, 0.000503619, 0.000508697, 0.000504167, 0.000503353, 0.000503154, 0.00050319, 0.000506714, 0.000503152, 0.000754103, 0.000503152, 0.000520635
0.654375, 0, 0.00156244, 0.00111339, 1.41421, -0.00156244, 0.00113154, 0.00111339, 0.0011134, 0.0011134, 0.00111352, 0.00111638, 0.00111443, 0.00112567, 0.00111483, 0.00111384, 0.0011134, 0.00111345, 0.00111935, 0.00111339, 0.00148123, 0.00111339, 0.0011521
0.6626, 0, 0.00309015, 0.00237051, 1.41421, -0.00309015, 0.00240918, 0.00237051, 0.00237053, 0.00237053, 0.00237077, 0.00237687, 0.00237271, 0.00239666, 0.00237254, 0.00237146, 0.00237052, 0.00237061, 0.00238034, 0.00237051, 0.00292108, 0.00237051, 0.00245296
0.670826, 0.969114, 0.00604372, 0.00485755, 1.72311, 0.963071, 0.00493683, 0.00485755, 0.00485759, 0.00485759, 0.0048581, 0.0048706, 0.00486206, 0.00491116, 0.0048604, 0.00485949, 0.00485757, 0.00485771, 0.00487363, 0.00485755, 0.0057025, 0.00485755, 0.00502661
0.679051, 0.997576, 0.0115793, 0.00958333, 1.73135, 0.985997, 0.00973986, 0.00958333, 0.00958341, 0.00958341, 0.00958442, 0.00960911, 0.00959225, 0.00968918, 0.00958731, 0.00958717, 0.00958338, 0.00958359, 0.00960939, 0.00958334, 0.0109131, 0.00958333, 0.00991708
0.687276, 1.9976, 0.0216029, 0.0182095, 1.9994, 1.976, 0.0185071, 0.0182095, 0.0182096, 0.0182096, 0.0182115, 0.0182585, 0.0182264, 0.0184108, 0.018215, 0.0182168, 0.0182096, 0.0182099, 0.0182514, 0.0182095, 0.0203458, 0.0182095, 0.0188441
0.695502, 0.0357104, 0.039104, 0.0333368, 1.42678, -0.00339355, 0.033882, 0.0333368, 0.033337, 0.033337, 0.0333405, 0.0334265, 0.0333678, 0.0337055, 0.0333444, 0.0333501, 0.0333369, 0.0333374, 0.0334039, 0.0333368, 0.0368131, 0.0333368, 0.0344995
0.703727, 0, 0.068534, 0.0588262, 1.41421, -0.068534, 0.0597892, 0.0588262, 0.0588266, 0.0588267, 0.0588328, 0.0589847, 0.058881, 0.0594774, 0.0588367, 0.0588498, 0.0588264, 0.0588272, 0.0589331, 0.0588262, 0.0645027, 0.0588262, 0.0608797
0.711953, 0.957048, 0.116168, 0.100099, 1.71961, 0.84088, 0.101739, 0.100099, 0.1001, 0.1001, 0.10011, 0.100369, 0.100192, 0.101208, 0.100113, 0.100139, 0.100099, 0.100101, 0.100268, 0.100099, 0.109318, 0.100099, 0.103597
0.720178, 0.0429516, 0.190352, 0.164328, 1.42932, -0.1474, 0.167023, 0.164328, 0.164329, 0.164329, 0.164346, 0.164771, 0.164481, 0.166151, 0.164347, 0.164394, 0.164328, 0.16433, 0.164594, 0.164328, 0.17911, 0.164328, 0.170076
