   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.443771, 0, 3.09168e-11, 1.13281e-36, 1.41421, -3.09168e-11, 0, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 1.13281e-36, 2.87085e-13, 1.13281e-36, 1.13281e-36, 5.93956e-16, 3.46975e-15, 1.13281e-36, 3.06256e-11, 1.13281e-36, 1.13281e-36, 1.13281e-36
0.45164, 0, 5.79383e-11, 8.8748e-36, 1.41421, -5.79383e-11, 0, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 8.8748e-36, 5.38102e-13, 8.8748e-36, 8.8748e-36, 1.16538e-15, 6.6703e-15, 8.8748e-36, 5.73924e-11, 8.8748e-36, 8.8748e-36, 8.8748e-36
0.45951, 0, 1.07168e-10, 6.42197e-35, 1.41421, -1.07168e-10, 0, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 6.42197e-35, 9.95622e-13, 6.42197e-35, 6.42197e-35, 2.2733e-15, 1.26894e-14, 6.42197e-35, 1.06157e-10, 6.42197e-35, 6.42197e-35, 6.42197e-35
0.467379, 0, 1.95666e-10, 4.43351e-34, 1.41421, -1.95666e-10, 0, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 4.43351e-34, 1.81862e-12, 4.43351e-34, 4.43351e-34, 4.41432e-15, 2.39066e-14, 4.43351e-34, 1.93819e-10, 4.43351e-34, 4.43351e-34, 4.43351e-34
0.475249, 0, 3.52646e-10, 2.97484e-33, 1.41421, -3.52646e-10, 0, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 2.97484e-33, 3.27979e-12, 2.97484e-33, 2.97484e-33, 8.54328e-15, 4.46459e-14, 2.97484e-33, 3.49313e-10, 2.97484e-33, 2.97484e-33, 2.97484e-33
0.483118, 0, 6.2743e-10, 1.89236e-32, 1.41421, -6.2743e-10, 0, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 1.89236e-32, 5.84065e-12, 1.89236e-32, 1.89236e-32, 1.64984e-14, 8.27446e-14, 1.89236e-32, 6.2149e-10, 1.89236e-32, 1.89236e-32, 1.89236e-32
0.490987, 0, 1.1021e-09, 1.13183e-31, 1.41421, -1.1021e-09, 0, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.13183e-31, 1.02717e-11, 1.13183e-31, 1.13183e-31, 3.18225e-14, 1.52404e-13, 1.13183e-31, 1.09164e-09, 1.13183e-31, 1.13183e-31, 1.13183e-31
0.498857, 0, 1.91132e-09, 6.359e-31, 1.41421, -1.91132e-09, 0, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 6.359e-31, 1.78425e-11, 6.359e-31, 6.359e-31, 6.13469e-14, 2.79421e-13, 6.359e-31, 1.89314e-09, 6.359e-31, 6.359e-31, 6.359e-31
0.506726, 0, 3.27294e-09, 3.36183e-30, 1.41421, -3.27294e-09, 0, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.36183e-30, 3.06174e-11, 3.36183e-30, 3.36183e-30, 1.18232e-13, 5.10881e-13, 3.36183e-30, 3.24169e-09, 3.36183e-30, 3.36183e-30, 3.36183e-30
0.514596, 0, 5.53444e-09, 1.67684e-29, 1.41421, -5.53444e-09, 0, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 1.67684e-29, 5.19127e-11, 1.67684e-29, 1.67684e-29, 2.27777e-13, 9.33321e-13, 1.67684e-29, 5.48137e-09, 1.67684e-29, 1.67684e-29, 1.67684e-29
