   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_114.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.386818, 0, 4.20438e-09, 3.00584e-33, 1.41421, -4.20438e-09, 3.00584e-33, 0, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 3.00584e-33, 1.51753e-12, 3.00584e-33, 3.00584e-33, 1.67196e-13, 3.00584e-33, 4.33796e-10, 3.00584e-33, 3.7689e-09, 3.00584e-33, 3.00584e-33
0.394703, 0, 6.2024e-09, 1.91906e-32, 1.41421, -6.2024e-09, 1.91906e-32, 0, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 1.91906e-32, 2.22275e-12, 1.91906e-32, 1.91906e-32, 2.67039e-13, 1.91906e-32, 6.91443e-10, 1.91906e-32, 5.50847e-09, 1.91906e-32, 1.91906e-32
0.402589, 0, 9.10178e-09, 1.14595e-31, 1.41421, -9.10178e-09, 1.14595e-31, 0, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 1.14595e-31, 3.23528e-12, 1.14595e-31, 1.14595e-31, 4.26383e-13, 1.14595e-31, 1.10063e-09, 1.14595e-31, 7.99749e-09, 1.14595e-31, 1.14595e-31
0.410474, 0, 1.32897e-08, 6.39755e-31, 1.41421, -1.32897e-08, 6.39755e-31, 0, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 6.39755e-31, 4.67997e-12, 6.39755e-31, 6.39755e-31, 6.80613e-13, 6.39755e-31, 1.74975e-09, 6.39755e-31, 1.15346e-08, 6.39755e-31, 6.39755e-31
0.418359, 0, 1.93131e-08, 3.34732e-30, 1.41421, -1.93131e-08, 3.34732e-30, 0, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 3.34732e-30, 6.72867e-12, 3.34732e-30, 3.34732e-30, 1.086e-12, 3.34732e-30, 2.77816e-09, 3.34732e-30, 1.65271e-08, 3.34732e-30, 3.34732e-30
0.426245, 0, 2.7943e-08, 1.64631e-29, 1.41421, -2.7943e-08, 1.64631e-29, 0, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 1.64631e-29, 9.61648e-12, 1.64631e-29, 1.64631e-29, 1.73182e-12, 1.64631e-29, 4.40499e-09, 1.64631e-29, 2.35267e-08, 1.64631e-29, 1.64631e-29
0.43413, 0, 4.02647e-08, 7.63575e-29, 1.41421, -4.02647e-08, 7.63575e-29, 0, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 7.63575e-29, 1.36632e-11, 7.63575e-29, 7.63575e-29, 2.75923e-12, 7.63575e-29, 6.97366e-09, 7.63575e-29, 3.32747e-08, 7.63575e-29, 7.63575e-29
0.442016, 0, 5.78047e-08, 3.35026e-28, 1.41421, -5.78047e-08, 3.35026e-28, 0, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 3.35026e-28, 1.93013e-11, 3.35026e-28, 3.35026e-28, 4.39066e-12, 3.35026e-28, 1.10202e-08, 3.35026e-28, 4.67607e-08, 3.35026e-28, 3.35026e-28
0.449901, 0, 8.27079e-08, 1.39462e-27, 1.41421, -8.27079e-08, 1.39462e-27, 0, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 1.39462e-27, 2.71127e-11, 1.39462e-27, 1.39462e-27, 6.97498e-12, 1.39462e-27, 1.73776e-08, 1.39462e-27, 6.52962e-08, 1.39462e-27, 1.39462e-27
0.457786, 0, 1.17988e-07, 5.52306e-27, 1.41421, -1.17988e-07, 5.52306e-27, 0, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 5.52306e-27, 3.78756e-11, 5.52306e-27, 5.52306e-27, 1.10567e-11, 5.52306e-27, 2.73324e-08, 5.52306e-27, 9.06063e-08, 5.52306e-27, 5.52306e-27
0.465672, 0, 1.67877e-07, 2.08644e-26, 1.41421, -1.67877e-07, 2.08644e-26, 0, 2.08644e-26, 2.08644e-26, 2.08644e-26, 2.08644e-26, 2.08644e-26, 2.08644e-26, 1.02611e-13, 2.08644e-26, 2.08644e-26, 2.08644e-26, 5.26261e-11, 2.08644e-26, 2.08644e-26, 1.74812e-11, 2.08644e-26, 4.28611e-08, 2.08644e-26, 1.24945e-07, 2.08644e-26, 2.08644e-26
0.473557, 0, 2.38316e-07, 7.53719e-26, 1.41421, -2.38316e-07, 7.53719e-26, 0, 7.53719e-26, 7.53719e-26, 7.53719e-26, 7.53719e-26, 7.53719e-26, 7.53719e-26, 3.41062e-13, 7.53719e-26, 7.53719e-26, 7.53719e-26, 7.27356e-11, 7.53719e-26, 7.53719e-26, 2.75529e-11, 7.53719e-26, 6.69783e-08, 7.53719e-26, 1.71238e-07, 7.53719e-26, 7.53719e-26
0.481443, 0, 3.37643e-07, 2.62838e-25, 1.41421, -3.37643e-07, 2.62838e-25, 0, 2.62838e-25, 2.62838e-25, 2.62838e-25, 2.62838e-25, 2.62838e-25, 2.62838e-25, 8.80317e-13, 2.62838e-25, 2.62838e-25, 2.62838e-25, 1.0001e-10, 2.62838e-25, 2.62838e-25, 4.32719e-11, 2.62838e-25, 1.04249e-07, 2.62838e-25, 2.3325e-07, 2.62838e-25, 2.62838e-25
0.489328, 0, 4.79274e-07, 6.05473e-10, 1.41421, -4.79274e-07, 6.11208e-10, 6.05473e-10, 6.05474e-10, 6.05506e-10, 6.14314e-10, 6.05671e-10, 6.08483e-10, 6.05755e-10, 6.12242e-10, 6.13705e-10, 6.10019e-10, 1.64541e-09, 7.42294e-10, 6.05941e-10, 6.0553e-10, 6.73158e-10, 6.05522e-10, 1.62134e-07, 6.05476e-10, 3.16448e-07, 6.05473e-10, 6.18874e-10
0.497213, 0, 6.80087e-07, 1.99762e-09, 1.41421, -6.80087e-07, 2.0166e-09, 1.99762e-09, 1.99762e-09, 1.99772e-09, 2.02688e-09, 1.99827e-09, 2.00758e-09, 1.99855e-09, 2.01781e-09, 2.02486e-09, 2.01266e-09, 5.43956e-09, 2.18387e-09, 1.99916e-09, 1.9978e-09, 2.10303e-09, 1.99877e-09, 2.51032e-07, 1.99763e-09, 4.27149e-07, 1.99762e-09, 2.04197e-09
0.505099, 0, 9.6572e-07, 5.12351e-09, 1.41421, -9.6572e-07, 5.17233e-09, 5.12351e-09, 5.12352e-09, 5.12379e-09, 5.19877e-09, 5.1252e-09, 5.14914e-09, 5.12592e-09, 5.17357e-09, 5.19359e-09, 5.16221e-09, 1.39761e-08, 5.37582e-09, 5.12749e-09, 5.12399e-09, 5.28688e-09, 5.12728e-09, 3.86962e-07, 5.12354e-09, 5.74179e-07, 5.12351e-09, 5.23759e-09
