   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_47.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.505584, 0, 1.25742e-08, 3.51209e-29, 1.41421, -1.25742e-08, 3.51209e-29, 0, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 3.51209e-29, 1.32017e-10, 3.51209e-29, 3.51209e-29, 6.05921e-13, 7.59954e-12, 3.51209e-29, 1.24339e-08, 3.51209e-29, 3.51209e-29, 3.51209e-29
0.513472, 0, 2.00435e-08, 2.62518e-28, 1.41421, -2.00435e-08, 2.62518e-28, 0, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.62518e-28, 2.11465e-10, 2.62518e-28, 2.62518e-28, 1.12095e-12, 1.37283e-11, 2.62518e-28, 1.98172e-08, 2.62518e-28, 2.62518e-28, 2.62518e-28
0.52136, 0, 3.15865e-08, 1.14277e-27, 1.41421, -3.15865e-08, 1.14277e-27, 0, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 1.14277e-27, 3.35209e-10, 1.14277e-27, 1.14277e-27, 2.06494e-12, 2.48377e-11, 1.14277e-27, 3.12244e-08, 1.14277e-27, 1.14277e-27, 1.14277e-27
0.529248, 0, 4.92197e-08, 4.74138e-27, 1.41421, -4.92197e-08, 4.74138e-27, 0, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 4.74138e-27, 5.26021e-10, 4.74138e-27, 4.74138e-27, 3.78679e-12, 4.50472e-11, 4.74138e-27, 4.86448e-08, 4.74138e-27, 4.74138e-27, 4.74138e-27
0.537135, 0, 7.585e-08, 1.88e-26, 1.41421, -7.585e-08, 1.88e-26, 0, 1.88e-26, 1.88e-26, 1.88e-26, 1.88e-26, 1.88e-26, 1.88e-26, 1.88e-26, 1.88e-26, 1.28032e-13, 1.88e-26, 1.88e-26, 1.88e-26, 8.17391e-10, 1.88e-26, 1.88e-26, 6.90523e-12, 8.18317e-11, 1.88e-26, 7.49437e-08, 1.88e-26, 1.88e-26, 1.88e-26
0.545023, 0, 1.15617e-07, 7.14178e-26, 1.41421, -1.15617e-07, 7.14178e-26, 0, 7.14178e-26, 7.14178e-26, 7.14178e-26, 7.14178e-26, 7.14178e-26, 7.14178e-26, 7.14178e-26, 7.14178e-26, 5.24262e-13, 7.14178e-26, 7.14178e-26, 7.14178e-26, 1.25812e-09, 7.14178e-26, 7.14178e-26, 1.25066e-11, 1.48697e-10, 7.14178e-26, 1.14197e-07, 7.14178e-26, 7.14178e-26, 7.14178e-26
0.552911, 0, 1.74347e-07, 2.61873e-25, 1.41421, -1.74347e-07, 2.61873e-25, 0, 2.61873e-25, 2.61873e-25, 2.61873e-25, 2.61873e-25, 2.61873e-25, 2.61873e-25, 2.61873e-25, 2.61873e-25, 1.69264e-12, 2.61873e-25, 2.61873e-25, 2.61873e-25, 1.9187e-09, 2.61873e-25, 2.61873e-25, 2.24754e-11, 2.69833e-10, 2.61873e-25, 1.72135e-07, 2.61873e-25, 2.61873e-25, 2.61873e-25
0.560798, 0, 2.61857e-07, 3.84227e-10, 1.41421, -2.61857e-07, 3.85183e-10, 3.84227e-10, 3.84244e-10, 3.84255e-10, 3.84282e-10, 3.8486e-10, 3.84303e-10, 3.8475e-10, 3.84874e-10, 3.84245e-10, 3.95459e-10, 3.92496e-10, 3.90712e-10, 1.64928e-09, 3.2843e-09, 3.85562e-10, 3.84282e-10, 4.24267e-10, 8.72322e-10, 3.84229e-10, 2.5712e-07, 3.84227e-10, 3.84227e-10, 3.96975e-10
0.568686, 0, 3.91106e-07, 1.55855e-09, 1.41421, -3.91106e-07, 1.56244e-09, 1.55855e-09, 1.55862e-09, 1.55866e-09, 1.55877e-09, 1.56112e-09, 1.55886e-09, 1.56068e-09, 1.56118e-09, 1.55862e-09, 1.59787e-09, 1.59216e-09, 1.58491e-09, 6.69976e-09, 5.90396e-09, 1.56398e-09, 1.55878e-09, 1.62922e-09, 2.437e-09, 1.55856e-09, 3.80502e-07, 1.55855e-09, 1.55855e-09, 1.61036e-09
0.576574, 0, 5.83862e-07, 4.98924e-09, 1.41421, -5.83862e-07, 5.00169e-09, 4.98924e-09, 4.98946e-09, 4.9896e-09, 4.98995e-09, 4.99748e-09, 4.99022e-09, 4.99605e-09, 4.99767e-09, 4.98946e-09, 5.10796e-09, 5.09697e-09, 5.07373e-09, 2.14707e-08, 1.14453e-08, 5.00663e-09, 4.98995e-09, 5.11271e-09, 6.55934e-09, 4.98926e-09, 5.58697e-07, 4.98924e-09, 4.98924e-09, 5.15532e-09
