   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_132.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.493379, 0, 2.08867e-11, 3.60677e-35, 1.41421, -2.08867e-11, 3.60677e-35, 0, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.60677e-35, 3.26462e-16, 3.60677e-35, 3.33973e-15, 3.60677e-35, 2.0883e-11, 3.60677e-35, 3.60677e-35
0.501271, 0, 4.44696e-11, 2.6116e-34, 1.41421, -4.44696e-11, 2.6116e-34, 0, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 2.6116e-34, 7.19099e-16, 2.6116e-34, 7.30198e-15, 2.6116e-34, 4.44615e-11, 2.6116e-34, 2.6116e-34
0.509164, 0, 9.29169e-11, 1.8359e-33, 1.41421, -9.29169e-11, 1.8359e-33, 0, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.8359e-33, 1.56832e-15, 1.8359e-33, 1.56901e-14, 1.8359e-33, 9.28996e-11, 1.8359e-33, 1.8359e-33
0.517056, 0, 1.90545e-10, 1.23785e-32, 1.41421, -1.90545e-10, 1.23785e-32, 0, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 1.23785e-32, 3.39444e-15, 1.23785e-32, 3.31529e-14, 1.23785e-32, 1.90509e-10, 1.23785e-32, 1.23785e-32
0.524949, 0, 3.83549e-10, 7.90008e-32, 1.41421, -3.83549e-10, 7.90008e-32, 0, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.90008e-32, 7.30934e-15, 7.90008e-32, 6.89406e-14, 7.90008e-32, 3.83473e-10, 7.90008e-32, 7.90008e-32
0.532841, 0, 7.57891e-10, 4.75148e-31, 1.41421, -7.57891e-10, 4.75148e-31, 0, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 4.75148e-31, 1.56974e-14, 4.75148e-31, 1.41233e-13, 4.75148e-31, 7.57735e-10, 4.75148e-31, 4.75148e-31
0.540733, 0, 1.47031e-09, 2.69274e-30, 1.41421, -1.47031e-09, 2.69274e-30, 0, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 2.69274e-30, 3.36936e-14, 2.69274e-30, 2.85433e-13, 2.69274e-30, 1.46999e-09, 2.69274e-30, 2.69274e-30
0.548626, 0, 2.80078e-09, 1.44043e-29, 1.41421, -2.80078e-09, 1.44043e-29, 0, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 1.44043e-29, 7.23895e-14, 1.44043e-29, 5.70088e-13, 1.44043e-29, 2.80014e-09, 1.44043e-29, 1.44043e-29
0.556518, 0, 5.23939e-09, 7.29204e-29, 1.41421, -5.23939e-09, 7.29204e-29, 0, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 7.29204e-29, 1.55756e-13, 7.29204e-29, 1.12778e-12, 7.29204e-29, 5.23811e-09, 7.29204e-29, 7.29204e-29
0.56441, 0, 9.62683e-09, 3.50358e-28, 1.41421, -9.62683e-09, 3.50358e-28, 0, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.50358e-28, 3.35448e-13, 3.50358e-28, 2.21581e-12, 3.50358e-28, 9.62428e-09, 3.50358e-28, 3.50358e-28
