   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_92.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.463555, 0, 3.22382e-11, 5.27126e-36, 1.41421, -3.22382e-11, 5.27126e-36, 0, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 5.27126e-36, 2.0849e-13, 5.27126e-36, 5.27126e-36, 1.94812e-16, 5.27126e-36, 3.20296e-11, 5.27126e-36, 5.27126e-36, 5.27126e-36
0.471449, 0, 6.28608e-11, 3.9911e-35, 1.41421, -6.28608e-11, 3.9911e-35, 0, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 3.9911e-35, 4.06588e-13, 3.9911e-35, 3.9911e-35, 3.96635e-16, 3.9911e-35, 6.24538e-11, 3.9911e-35, 3.9911e-35, 3.9911e-35
0.479343, 0, 1.20751e-10, 2.80663e-34, 1.41421, -1.20751e-10, 2.80663e-34, 0, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 2.80663e-34, 7.81243e-13, 2.80663e-34, 2.80663e-34, 8.0218e-16, 2.80663e-34, 1.19969e-10, 2.80663e-34, 2.80663e-34, 2.80663e-34
0.487236, 0, 2.28529e-10, 1.94143e-33, 1.41421, -2.28529e-10, 1.94143e-33, 0, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.94143e-33, 1.47923e-12, 1.94143e-33, 1.94143e-33, 1.6142e-15, 1.94143e-33, 2.27048e-10, 1.94143e-33, 1.94143e-33, 1.94143e-33
0.49513, 0, 4.26146e-10, 1.28054e-32, 1.41421, -4.26146e-10, 1.28054e-32, 0, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 1.28054e-32, 2.76031e-12, 1.28054e-32, 1.28054e-32, 3.23702e-15, 1.28054e-32, 4.23383e-10, 1.28054e-32, 1.28054e-32, 1.28054e-32
0.503023, 0, 7.83023e-10, 7.95652e-32, 1.41421, -7.83023e-10, 7.95652e-32, 0, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 7.95652e-32, 5.07714e-12, 7.95652e-32, 7.95652e-32, 6.47863e-15, 7.95652e-32, 7.77939e-10, 7.95652e-32, 7.95652e-32, 7.95652e-32
0.510917, 0, 1.41786e-09, 4.64494e-31, 1.41421, -1.41786e-09, 4.64494e-31, 0, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 4.64494e-31, 9.20664e-12, 4.64494e-31, 4.64494e-31, 1.29569e-14, 4.64494e-31, 1.40864e-09, 4.64494e-31, 4.64494e-31, 4.64494e-31
0.518811, 0, 2.53027e-09, 2.55015e-30, 1.41421, -2.53027e-09, 2.55015e-30, 0, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 2.55015e-30, 1.6462e-11, 2.55015e-30, 2.55015e-30, 2.59135e-14, 2.55015e-30, 2.51378e-09, 2.55015e-30, 2.55015e-30, 2.55015e-30
0.526704, 0, 4.45065e-09, 1.31988e-29, 1.41421, -4.45065e-09, 1.31988e-29, 0, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 1.31988e-29, 2.90314e-11, 1.31988e-29, 1.31988e-29, 5.18388e-14, 1.31988e-29, 4.42157e-09, 1.31988e-29, 1.31988e-29, 1.31988e-29
0.534598, 0, 7.71704e-09, 6.4591e-29, 1.41421, -7.71704e-09, 6.4591e-29, 0, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 6.4591e-29, 5.05086e-11, 6.4591e-29, 6.4591e-29, 1.03683e-13, 6.4591e-29, 7.66643e-09, 6.4591e-29, 6.4591e-29, 6.4591e-29
0.542491, 0, 1.31917e-08, 2.99785e-28, 1.41421, -1.31917e-08, 2.99785e-28, 0, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 2.99785e-28, 8.67154e-11, 2.99785e-28, 2.99785e-28, 2.07137e-13, 2.99785e-28, 1.31047e-08, 2.99785e-28, 2.99785e-28, 2.99785e-28
0.550385, 0, 2.22347e-08, 1.32364e-27, 1.41421, -2.22347e-08, 1.32364e-27, 0, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.32364e-27, 1.46961e-10, 1.32364e-27, 1.32364e-27, 4.12738e-13, 1.32364e-27, 2.20873e-08, 1.32364e-27, 1.32364e-27, 1.32364e-27
0.558279, 0, 3.69579e-08, 5.5755e-27, 1.41421, -3.69579e-08, 5.5755e-27, 0, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 5.5755e-27, 2.45937e-10, 5.5755e-27, 5.5755e-27, 8.18816e-13, 5.5755e-27, 3.67112e-08, 5.5755e-27, 5.5755e-27, 5.5755e-27
0.566172, 0, 6.05901e-08, 2.24675e-26, 1.41421, -6.05901e-08, 2.24675e-26, 0, 2.24675e-26, 2.24675e-26, 2.24675e-26, 2.24675e-26, 2.24675e-26, 2.24675e-26, 2.24021e-13, 2.24675e-26, 2.24675e-26, 2.24675e-26, 4.06556e-10, 2.24675e-26, 2.24675e-26, 1.61425e-12, 2.24675e-26, 6.01817e-08, 2.24675e-26, 2.24675e-26, 2.24675e-26
0.574066, 0, 9.7991e-08, 8.68368e-26, 1.41421, -9.7991e-08, 8.68368e-26, 0, 8.68368e-26, 8.68368e-26, 8.68368e-26, 8.68368e-26, 8.68368e-26, 8.68368e-26, 9.99861e-13, 8.68368e-26, 8.68368e-26, 8.68368e-26, 6.64123e-10, 8.68368e-26, 8.68368e-26, 3.15647e-12, 8.68368e-26, 9.73228e-08, 8.68368e-26, 8.68368e-26, 8.68368e-26
0.581959, 0, 1.56365e-07, 3.23377e-25, 1.41421, -1.56365e-07, 3.23377e-25, 0, 3.23377e-25, 3.23377e-25, 3.23377e-25, 3.23377e-25, 3.23377e-25, 3.23377e-25, 3.55447e-12, 3.23377e-25, 3.23377e-25, 3.23377e-25, 1.07242e-09, 3.23377e-25, 3.23377e-25, 6.11109e-12, 3.23377e-25, 1.55283e-07, 3.23377e-25, 3.23377e-25, 3.23377e-25
0.589853, 0, 2.48173e-07, 4.77497e-10, 1.41421, -2.48173e-07, 4.79938e-10, 4.77497e-10, 4.7751e-10, 4.77512e-10, 4.78522e-10, 4.77745e-10, 4.78051e-10, 4.79163e-10, 4.99277e-10, 4.91703e-10, 4.8412e-10, 1.8554e-09, 2.18998e-09, 4.79966e-10, 4.77597e-10, 4.89194e-10, 4.77498e-10, 2.45006e-07, 4.77497e-10, 4.77497e-10, 4.91139e-10
0.597746, 0, 3.91348e-07, 2.11641e-09, 1.41421, -3.91348e-07, 2.12726e-09, 2.11641e-09, 2.11647e-09, 2.11648e-09, 2.12097e-09, 2.11751e-09, 2.11888e-09, 2.12382e-09, 2.19739e-09, 2.17955e-09, 2.14585e-09, 8.24098e-09, 4.82143e-09, 2.12739e-09, 2.11686e-09, 2.13852e-09, 2.11642e-09, 3.82224e-07, 2.11641e-09, 2.11641e-09, 2.17705e-09
0.60564, 0, 6.17912e-07, 7.48917e-09, 1.41421, -6.17912e-07, 7.52761e-09, 7.48917e-09, 7.48938e-09, 7.48941e-09, 7.50531e-09, 7.49307e-09, 7.4979e-09, 7.5154e-09, 7.75435e-09, 7.71288e-09, 7.59346e-09, 2.91884e-08, 1.1717e-08, 7.52805e-09, 7.49075e-09, 7.5304e-09, 7.48919e-09, 5.91001e-07, 7.48917e-09, 7.48917e-09, 7.70399e-09
0.613534, 0, 9.89391e-07, 2.43044e-08, 1.41421, -9.89391e-07, 2.44292e-08, 2.43044e-08, 2.43051e-08, 2.43052e-08, 2.43568e-08, 2.43171e-08, 2.43328e-08, 2.43896e-08, 2.5119e-08, 2.50309e-08, 2.46431e-08, 9.47713e-08, 3.08443e-08, 2.44307e-08, 2.43095e-08, 2.43802e-08, 2.43045e-08, 9.09295e-07, 2.43044e-08, 2.43044e-08, 2.5002e-08
