   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.408133, 0, 9.18669e-09, 7.30714e-32, 1.41421, -9.18669e-09, 7.30714e-32, 0, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.30714e-32, 7.27971e-11, 7.30714e-32, 7.30714e-32, 3.47105e-13, 1.27883e-10, 7.30714e-32, 8.98566e-09, 7.30714e-32, 7.30714e-32
0.41603, 0, 1.33953e-08, 4.18407e-31, 1.41421, -1.33953e-08, 4.18407e-31, 0, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 4.18407e-31, 1.06299e-10, 4.18407e-31, 4.18407e-31, 5.59469e-13, 2.05331e-10, 4.18407e-31, 1.30831e-08, 4.18407e-31, 4.18407e-31
0.423927, 0, 1.94003e-08, 2.24331e-30, 1.41421, -1.94003e-08, 2.24331e-30, 0, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 2.24331e-30, 1.54209e-10, 2.24331e-30, 2.24331e-30, 9.01341e-13, 3.29264e-10, 2.24331e-30, 1.89159e-08, 2.24331e-30, 2.24331e-30
0.431825, 0, 2.7911e-08, 1.12961e-29, 1.41421, -2.7911e-08, 1.12961e-29, 0, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 1.12961e-29, 2.22285e-10, 1.12961e-29, 1.12961e-29, 1.45119e-12, 5.27299e-10, 1.12961e-29, 2.71599e-08, 1.12961e-29, 1.12961e-29
0.439722, 0, 3.98931e-08, 5.3591e-29, 1.41421, -3.98931e-08, 5.3591e-29, 0, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 5.3591e-29, 3.18407e-10, 5.3591e-29, 5.3591e-29, 2.33429e-12, 8.43191e-10, 5.3591e-29, 3.87292e-08, 5.3591e-29, 5.3591e-29
0.447619, 0, 5.66541e-08, 2.40307e-28, 1.41421, -5.66541e-08, 2.40307e-28, 0, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 2.40307e-28, 4.53297e-10, 2.40307e-28, 2.40307e-28, 3.74993e-12, 1.34598e-09, 2.40307e-28, 5.4851e-08, 2.40307e-28, 2.40307e-28
0.455517, 0, 7.99526e-08, 1.0215e-27, 1.41421, -7.99526e-08, 1.0215e-27, 0, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 1.0215e-27, 6.41459e-10, 1.0215e-27, 1.0215e-27, 6.01371e-12, 2.14413e-09, 1.0215e-27, 7.7161e-08, 1.0215e-27, 1.0215e-27
0.463414, 0, 1.12141e-07, 4.12796e-27, 1.41421, -1.12141e-07, 4.12796e-27, 0, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 4.12796e-27, 9.02397e-10, 4.12796e-27, 4.12796e-27, 9.62282e-12, 3.40703e-09, 4.12796e-27, 1.07822e-07, 4.12796e-27, 4.12796e-27
0.471311, 0, 1.56347e-07, 1.59006e-26, 1.41421, -1.56347e-07, 1.59006e-26, 0, 1.59006e-26, 1.59006e-26, 1.59006e-26, 1.59006e-26, 1.59006e-26, 1.59006e-26, 9.07691e-14, 1.59006e-26, 1.59006e-26, 1.59006e-26, 1.26219e-09, 1.59006e-26, 1.59006e-26, 1.53563e-11, 5.39768e-09, 1.59006e-26, 1.49672e-07, 1.59006e-26, 1.59006e-26
0.479208, 0, 2.16713e-07, 5.8529e-26, 1.41421, -2.16713e-07, 5.8529e-26, 0, 5.8529e-26, 5.8529e-26, 5.8529e-26, 5.8529e-26, 5.8529e-26, 5.8529e-26, 3.06518e-13, 5.8529e-26, 5.8529e-26, 5.8529e-26, 1.75553e-09, 5.8529e-26, 5.8529e-26, 2.4427e-11, 8.52148e-09, 5.8529e-26, 2.06411e-07, 5.8529e-26, 5.8529e-26
