   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_35.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.502444, 0, 2.26609e-08, 2.20931e-28, 1.41421, -2.26609e-08, 2.20931e-28, 0, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 2.20931e-28, 6.11969e-11, 2.20931e-28, 2.20931e-28, 1.22348e-12, 1.18275e-11, 2.20931e-28, 2.25866e-08, 2.20931e-28, 2.20931e-28
0.510351, 0, 3.48292e-08, 9.51204e-28, 1.41421, -3.48292e-08, 9.51204e-28, 0, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.51204e-28, 9.46324e-11, 9.51204e-28, 9.51204e-28, 2.17981e-12, 2.08094e-11, 9.51204e-28, 3.47116e-08, 9.51204e-28, 9.51204e-28
0.518259, 0, 5.30097e-08, 3.89897e-27, 1.41421, -5.30097e-08, 3.89897e-27, 0, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 3.89897e-27, 1.45068e-10, 3.89897e-27, 3.89897e-27, 3.86917e-12, 3.66704e-11, 3.89897e-27, 5.2824e-08, 3.89897e-27, 3.89897e-27
0.526167, 0, 7.99023e-08, 1.52578e-26, 1.41421, -7.99023e-08, 1.52578e-26, 0, 1.52578e-26, 1.52578e-26, 1.52578e-26, 1.52578e-26, 1.52578e-26, 1.52578e-26, 1.52578e-26, 1.85451e-13, 1.52578e-26, 1.52578e-26, 1.52578e-26, 2.20506e-10, 1.52578e-26, 1.52578e-26, 6.83568e-12, 6.4674e-11, 1.52578e-26, 7.96101e-08, 1.52578e-26, 1.52578e-26
0.534074, 0, 1.1929e-07, 5.71533e-26, 1.41421, -1.1929e-07, 5.71533e-26, 0, 5.71533e-26, 5.71533e-26, 5.71533e-26, 5.71533e-26, 5.71533e-26, 5.71533e-26, 5.71533e-26, 7.14015e-13, 5.71533e-26, 5.71533e-26, 5.71533e-26, 3.3242e-10, 5.71533e-26, 5.71533e-26, 1.20091e-11, 1.14033e-10, 5.71533e-26, 1.18831e-07, 5.71533e-26, 5.71533e-26
0.541982, 0, 1.76417e-07, 2.06092e-25, 1.41421, -1.76417e-07, 2.06092e-25, 0, 2.06092e-25, 2.06092e-25, 2.06092e-25, 2.06092e-25, 2.06092e-25, 2.06092e-25, 2.06092e-25, 2.16553e-12, 2.06092e-25, 2.06092e-25, 2.06092e-25, 4.97123e-10, 2.06092e-25, 2.06092e-25, 2.09616e-11, 2.00747e-10, 2.06092e-25, 1.75696e-07, 2.06092e-25, 2.06092e-25
0.54989, 0, 2.60602e-07, 5.50281e-10, 1.41421, -2.60602e-07, 5.51512e-10, 5.50281e-10, 5.50287e-10, 5.50314e-10, 5.50332e-10, 5.51082e-10, 5.50675e-10, 5.51351e-10, 5.50533e-10, 5.6469e-10, 5.61411e-10, 5.58123e-10, 2.04191e-09, 1.28794e-09, 5.52439e-10, 5.50341e-10, 5.86606e-10, 9.02617e-10, 5.50283e-10, 2.57929e-07, 5.50281e-10, 5.66631e-10
0.557797, 0, 3.83384e-07, 2.10846e-09, 1.41421, -3.83384e-07, 2.11319e-09, 2.10846e-09, 2.10848e-09, 2.10859e-09, 2.10866e-09, 2.11153e-09, 2.10997e-09, 2.11257e-09, 2.10943e-09, 2.15655e-09, 2.15115e-09, 2.13854e-09, 7.82997e-09, 3.19472e-09, 2.11674e-09, 2.10869e-09, 2.17092e-09, 2.72409e-09, 2.10847e-09, 3.75691e-07, 2.10846e-09, 2.17118e-09
0.565705, 0, 5.64523e-07, 6.37344e-09, 1.41421, -5.64523e-07, 6.38772e-09, 6.37344e-09, 6.37351e-09, 6.37383e-09, 6.37403e-09, 6.38273e-09, 6.37801e-09, 6.38585e-09, 6.37636e-09, 6.51123e-09, 6.50253e-09, 6.4644e-09, 2.36751e-08, 7.96114e-09, 6.39847e-09, 6.37414e-09, 6.47995e-09, 7.44273e-09, 6.37347e-09, 5.4384e-07, 6.37344e-09, 6.56308e-09
0.573613, 0, 8.38215e-07, 1.7662e-08, 1.41421, -8.38215e-07, 1.77016e-08, 1.7662e-08, 1.76622e-08, 1.76631e-08, 1.76637e-08, 1.76878e-08, 1.76747e-08, 1.76964e-08, 1.76701e-08, 1.80313e-08, 1.80199e-08, 1.79141e-08, 6.56189e-08, 1.99657e-08, 1.77314e-08, 1.7664e-08, 1.7842e-08, 1.95058e-08, 1.76621e-08, 7.84231e-07, 1.7662e-08, 1.81877e-08
