   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.377695, 0, 4.04652e-09, 6.01143e-34, 1.41421, -4.04652e-09, 6.01143e-34, 0, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 6.01143e-34, 3.20438e-11, 6.01143e-34, 6.01143e-34, 1.1552e-13, 3.57257e-10, 6.01143e-34, 3.6571e-09, 6.01143e-34, 6.01143e-34
0.385586, 0, 5.92716e-09, 4.09343e-33, 1.41421, -5.92716e-09, 4.09343e-33, 0, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.09343e-33, 4.66715e-11, 4.09343e-33, 4.09343e-33, 1.82859e-13, 5.65035e-10, 4.09343e-33, 5.31527e-09, 4.09343e-33, 4.09343e-33
0.393478, 0, 8.63563e-09, 2.63666e-32, 1.41421, -8.63563e-09, 2.63666e-32, 0, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 2.63666e-32, 6.75629e-11, 2.63666e-32, 2.63666e-32, 2.89365e-13, 8.92279e-10, 2.63666e-32, 7.6755e-09, 2.63666e-32, 2.63666e-32
0.40137, 0, 1.25175e-08, 1.5879e-31, 1.41421, -1.25175e-08, 1.5879e-31, 0, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 1.5879e-31, 9.72198e-11, 1.5879e-31, 1.5879e-31, 4.5779e-13, 1.407e-09, 1.5879e-31, 1.10128e-08, 1.5879e-31, 1.5879e-31
0.409261, 0, 1.80561e-08, 8.93544e-31, 1.41421, -1.80561e-08, 8.93544e-31, 0, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 8.93544e-31, 1.3907e-10, 8.93544e-31, 8.93544e-31, 7.24024e-13, 2.21546e-09, 8.93544e-31, 1.57009e-08, 8.93544e-31, 8.93544e-31
0.417153, 0, 2.59255e-08, 4.70884e-30, 1.41421, -2.59255e-08, 4.70884e-30, 0, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 4.70884e-30, 1.97782e-10, 4.70884e-30, 4.70884e-30, 1.14456e-12, 3.48324e-09, 4.70884e-30, 2.22433e-08, 4.70884e-30, 4.70884e-30
0.425044, 0, 3.70673e-08, 4.82627e-29, 1.41421, -3.70673e-08, 4.82627e-29, 0, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 4.82627e-29, 2.79688e-10, 4.82627e-29, 4.82627e-29, 1.80961e-12, 5.4706e-09, 4.82627e-29, 3.13152e-08, 4.82627e-29, 4.82627e-29
0.432936, 0, 5.27792e-08, 2.1338e-28, 1.41421, -5.27792e-08, 2.1338e-28, 0, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 2.1338e-28, 3.93294e-10, 2.1338e-28, 2.1338e-28, 2.85549e-12, 8.57036e-09, 2.1338e-28, 4.38127e-08, 2.1338e-28, 2.1338e-28
0.440827, 0, 7.48734e-08, 8.94634e-28, 1.41421, -7.48734e-08, 8.94634e-28, 0, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 8.94634e-28, 5.50024e-10, 8.94634e-28, 8.94634e-28, 4.49958e-12, 1.33981e-08, 8.94634e-28, 6.09208e-08, 8.94634e-28, 8.94634e-28
0.448719, 0, 1.05858e-07, 3.56701e-27, 1.41421, -1.05858e-07, 3.56701e-27, 0, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 3.56701e-27, 7.65092e-10, 3.56701e-27, 3.56701e-27, 7.07745e-12, 2.08936e-08, 3.56701e-27, 8.41927e-08, 3.56701e-27, 3.56701e-27
