   PIQUANT 0.0.0-main  ps__0846_0742001877_000BHVO2_shot_8.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.154419, 0, 7.72943e-12, 0, 1.41421, -7.72943e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52928e-14, 0, 0, 1.28402e-16, 0, 0, 7.71401e-12, 0, 0, 0
0.162285, 0, 1.22096e-11, 0, 1.41421, -1.22096e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41577e-14, 0, 0, 2.07394e-16, 0, 0, 1.21852e-11, 0, 0, 0
0.170152, 0, 1.91744e-11, 0, 1.41421, -1.91744e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79398e-14, 0, 0, 3.3325e-16, 0, 0, 1.91362e-11, 0, 0, 0
0.178018, 0, 2.99382e-11, 0, 1.41421, -2.99382e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92409e-14, 0, 0, 5.32762e-16, 0, 0, 2.98784e-11, 0, 0, 0
0.185884, 0, 4.64752e-11, 0, 1.41421, -4.64752e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19703e-14, 0, 0, 8.47495e-16, 0, 0, 4.63824e-11, 0, 0, 0
0.193751, 0, 7.17338e-11, 0, 1.41421, -7.17338e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41967e-13, 0, 0, 1.34165e-15, 0, 0, 7.15905e-11, 0, 0, 0
0.201617, 0, 1.10089e-10, 0, 1.41421, -1.10089e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.179e-13, 0, 0, 2.11399e-15, 0, 0, 1.09869e-10, 0, 0, 0
0.209483, 0, 1.67994e-10, 0, 1.41421, -1.67994e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32557e-13, 0, 0, 3.3159e-15, 0, 0, 1.67658e-10, 0, 0, 0
0.21735, 0, 2.54908e-10, 0, 1.41421, -2.54908e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04694e-13, 0, 0, 5.17858e-15, 0, 0, 2.54398e-10, 0, 0, 0
0.225216, 0, 3.84612e-10, 0, 1.41421, -3.84612e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61656e-13, 0, 0, 8.0542e-15, 0, 0, 3.83843e-10, 0, 0, 0
0.233082, 0, 5.77064e-10, 0, 1.41421, -5.77064e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14306e-12, 0, 0, 1.24776e-14, 0, 0, 5.75909e-10, 0, 0, 0
0.240949, 0, 8.60988e-10, 0, 1.41421, -8.60988e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70599e-12, 0, 0, 1.92597e-14, 0, 0, 8.59262e-10, 0, 0, 0
0.248815, 0, 1.27747e-09, 0, 1.41421, -1.27747e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53215e-12, 0, 0, 2.96274e-14, 0, 0, 1.27491e-09, 0, 0, 0
0.256681, 0, 1.88494e-09, 6.30584e-44, 1.41421, -1.88494e-09, 0, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 6.30584e-44, 3.73792e-12, 6.30584e-44, 6.30584e-44, 4.54353e-14, 6.30584e-44, 6.30584e-44, 1.88116e-09, 6.30584e-44, 6.30584e-44, 6.30584e-44
0.264548, 0, 2.76596e-09, 1.22894e-42, 1.41421, -2.76596e-09, 0, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 1.22894e-42, 5.48793e-12, 1.22894e-42, 1.22894e-42, 6.94842e-14, 1.22894e-42, 1.22894e-42, 2.7604e-09, 1.22894e-42, 1.22894e-42, 1.22894e-42
0.272414, 0, 4.03651e-09, 1.81861e-41, 1.41421, -4.03651e-09, 0, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 1.81861e-41, 8.01391e-12, 1.81861e-41, 1.81861e-41, 1.06003e-13, 1.81861e-41, 1.81861e-41, 4.02839e-09, 1.81861e-41, 1.81861e-41, 1.81861e-41
0.28028, 0, 5.85854e-09, 2.4679e-40, 1.41421, -5.85854e-09, 0, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 2.4679e-40, 1.164e-11, 2.4679e-40, 2.4679e-40, 1.61377e-13, 2.4679e-40, 2.4679e-40, 5.84674e-09, 2.4679e-40, 2.4679e-40, 2.4679e-40
0.288147, 0, 8.45681e-09, 3.00408e-39, 1.41421, -8.45681e-09, 0, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 3.00408e-39, 1.68173e-11, 3.00408e-39, 3.00408e-39, 2.45253e-13, 3.00408e-39, 3.00408e-39, 8.43974e-09, 3.00408e-39, 3.00408e-39, 3.00408e-39
0.296013, 0, 1.21414e-08, 3.29354e-38, 1.41421, -1.21414e-08, 0, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 3.29354e-38, 2.41696e-11, 3.29354e-38, 3.29354e-38, 3.72214e-13, 3.29354e-38, 3.29354e-38, 1.21168e-08, 3.29354e-38, 3.29354e-38, 3.29354e-38
0.303879, 0, 1.73375e-08, 3.26566e-37, 1.41421, -1.73375e-08, 0, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.26566e-37, 3.45556e-11, 3.26566e-37, 3.26566e-37, 5.64326e-13, 3.26566e-37, 3.26566e-37, 1.73024e-08, 3.26566e-37, 3.26566e-37, 3.26566e-37
0.311746, 0, 2.46248e-08, 2.94425e-36, 1.41421, -2.46248e-08, 0, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 2.94425e-36, 4.91501e-11, 2.94425e-36, 2.94425e-36, 8.55005e-13, 2.94425e-36, 2.94425e-36, 2.45748e-08, 2.94425e-36, 2.94425e-36, 2.94425e-36
0.319612, 0, 3.47887e-08, 2.42699e-35, 1.41421, -3.47887e-08, 0, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 2.42699e-35, 6.95522e-11, 2.42699e-35, 2.42699e-35, 1.2949e-12, 2.42699e-35, 2.42699e-35, 3.47179e-08, 2.42699e-35, 2.42699e-35, 2.42699e-35
0.327478, 0, 4.88874e-08, 1.83775e-34, 1.41421, -4.88874e-08, 0, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 1.83775e-34, 9.79275e-11, 1.83775e-34, 1.83775e-34, 1.96084e-12, 1.83775e-34, 1.83775e-34, 4.87876e-08, 1.83775e-34, 1.83775e-34, 1.83775e-34
0.335345, 0, 6.83382e-08, 1.28402e-33, 1.41421, -6.83382e-08, 0, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.28402e-33, 1.37194e-10, 1.28402e-33, 1.28402e-33, 2.96943e-12, 1.28402e-33, 1.28402e-33, 6.8198e-08, 1.28402e-33, 1.28402e-33, 1.28402e-33
0.343211, 0, 9.50275e-08, 8.74585e-33, 1.41421, -9.50275e-08, 0, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 8.74585e-33, 1.91262e-10, 8.74585e-33, 8.74585e-33, 4.49761e-12, 8.74585e-33, 8.74585e-33, 9.48317e-08, 8.74585e-33, 8.74585e-33, 8.74585e-33
0.351077, 0, 1.31453e-07, 5.52887e-32, 1.41421, -1.31453e-07, 0, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 5.52887e-32, 2.6535e-10, 5.52887e-32, 5.52887e-32, 6.81386e-12, 5.52887e-32, 5.52887e-32, 1.31181e-07, 5.52887e-32, 5.52887e-32, 5.52887e-32
0.358944, 0, 1.80901e-07, 3.27725e-31, 1.41421, -1.80901e-07, 0, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.27725e-31, 3.66385e-10, 3.27725e-31, 3.27725e-31, 1.03251e-11, 3.27725e-31, 3.27725e-31, 1.80524e-07, 3.27725e-31, 3.27725e-31, 3.27725e-31
